lat,lon,sst
4.9792,-162.7292,27.9850
4.9792,-162.6875,27.8000
4.9792,-162.6458,27.9900
4.9792,-162.6042,28.1000
4.9792,-162.5625,27.4700
4.9792,-162.5208,27.5150
4.9792,-162.4792,27.6050
4.9792,-162.4375,27.7800
4.9792,-162.3958,27.7450
4.9792,-162.3542,27.8350
4.9792,-162.3125,28.0200
4.9792,-162.2708,28.0550
4.9792,-162.2292,28.0650
4.9792,-162.1875,27.9300
4.9792,-162.1458,27.7200
4.9792,-162.1042,27.5400
4.9792,-162.0625,27.7450
4.9792,-162.0208,27.8750
4.9792,-161.9792,27.9050
4.9792,-161.9375,27.9450
4.9792,-161.8958,27.8550
4.9792,-161.8542,27.8500
4.9792,-161.8125,27.9450
4.9792,-161.7708,28.0150
4.9792,-161.7292,28.0250
4.9792,-161.6875,27.8950
4.9792,-161.6458,27.7200
4.9792,-161.6042,27.7650
4.9792,-161.5625,27.8850
4.9792,-161.5208,28.0200
4.9792,-161.4792,27.9850
4.9792,-161.4375,27.8850
4.9792,-161.3958,27.6750
4.9792,-161.3542,27.6150
4.9792,-161.3125,27.6050
4.9792,-161.2708,27.6100
4.9792,-161.2292,27.5350
4.9792,-161.1875,27.5600
4.9792,-161.1458,27.5900
4.9792,-161.1042,27.7150
4.9792,-161.0625,27.7900
4.9792,-161.0208,27.7350
4.9792,-160.9792,27.6350
4.9792,-160.9375,27.6550
4.9792,-160.8958,27.5150
4.9792,-160.8542,27.5500
4.9792,-160.8125,27.6200
4.9792,-160.7708,27.7800
4.9792,-160.7292,27.9900
4.9792,-160.6875,27.7950
4.9792,-160.6458,27.7500
4.9792,-160.6042,27.7150
4.9792,-160.5625,27.6950
4.9792,-160.5208,27.6250
4.9792,-160.4792,27.6050
4.9792,-160.4375,27.6550
4.9792,-160.3958,27.6250
4.9792,-160.3542,27.5850
4.9792,-160.3125,27.6800
4.9792,-160.2708,27.6450
4.9792,-160.2292,27.6500
4.9792,-160.1875,27.4550
4.9792,-160.1458,27.3400
4.9792,-160.1042,27.4750
4.9792,-160.0625,27.6150
4.9792,-160.0208,27.6200
4.9792,-159.9792,27.6200
4.9792,-159.9375,27.5350
4.9792,-159.8958,27.8150
4.9792,-159.8542,28.1000
4.9792,-159.8125,27.8100
4.9792,-159.7708,27.6800
4.9792,-159.7292,27.7700
4.9792,-159.6875,27.7700
4.9792,-159.6458,27.7700
4.9792,-159.6042,27.3800
4.9792,-159.5625,27.4900
4.9792,-159.5208,27.7100
4.9792,-159.4792,27.8050
